trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
112,False,"{'a': 0.01, 'e': 0.4356824462767121}",25,9,-36.057650671802044,"{0: 13, 1: 1, 2: 1, 3: 0, 4: 1}",1
113,False,"{'a': 0.01, 'e': 0.42665980793015723}",25,7,5.677254754288982,"{0: 16, 1: 0, 2: 2, 3: 0, 4: 0}",1
114,False,"{'a': 0.01, 'e': 0.41759450395835795}",25,14,-26.299108031496274,"{0: 8, 1: 0, 2: 2, 3: 1, 4: 0}",1
115,False,"{'a': 0.01, 'e': 0.40848744088415717}",30,14,-107.96651358806886,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 3}",1
116,False,"{'a': 0.01, 'e': 0.3993395294062732}",25,0,5.894611037906358,"{0: 22, 1: 1, 2: 2, 3: 0, 4: 0}",0
117,False,"{'a': 0.01, 'e': 0.3901516843082303}",20,0,-17.374979911155837,"{0: 16, 1: 2, 2: 1, 3: 1, 4: 0}",0
118,False,"{'a': 0.01, 'e': 0.38092482436688185}",20,11,15.28658628252388,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
119,False,"{'a': 0.01, 'e': 0.371659872260533}",35,12,15.873089699225691,"{0: 21, 1: 0, 2: 2, 3: 0, 4: 0}",1
120,False,"{'a': 0.01, 'e': 0.3623577544766736}",25,14,-19.43160221209756,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 1}",1
121,False,"{'a': 0.01, 'e': 0.3530194012193304}",30,22,16.518125590569763,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
122,False,"{'a': 0.01, 'e': 0.34364574631604705}",25,0,-82.72142214623773,"{0: 20, 1: 0, 2: 3, 3: 0, 4: 2}",0
123,False,"{'a': 0.01, 'e': 0.3342377271245026}",20,1,-31.046233658702985,"{0: 14, 1: 1, 2: 3, 3: 1, 4: 0}",1
124,False,"{'a': 0.01, 'e': 0.32479628443877623}",25,3,-6.772621414519796,"{0: 19, 1: 1, 2: 1, 3: 1, 4: 0}",1
125,False,"{'a': 0.01, 'e': 0.3153223623952687}",25,14,-2.1325909581463396,"{0: 9, 1: 1, 2: 1, 3: 0, 4: 0}",1
126,False,"{'a': 0.01, 'e': 0.30581690837828934}",20,8,-1.9290874630441293,"{0: 10, 1: 0, 2: 2, 3: 0, 4: 0}",1
127,False,"{'a': 0.01, 'e': 0.29628087292531874}",20,13,-12.900600147020073,"{0: 5, 1: 0, 2: 2, 3: 0, 4: 0}",1
128,False,"{'a': 0.01, 'e': 0.2867152096319555}",30,7,5.846776077656487,"{0: 20, 1: 0, 2: 3, 3: 0, 4: 0}",1
129,False,"{'a': 0.01, 'e': 0.2771208750565576}",30,3,-12.654954294542389,"{0: 23, 1: 0, 2: 3, 3: 1, 4: 0}",1
130,False,"{'a': 0.01, 'e': 0.26749882862458735}",25,9,-59.1873853551515,"{0: 12, 1: 0, 2: 2, 3: 1, 4: 1}",1
131,False,"{'a': 0.01, 'e': 0.25785003253266964}",20,0,11.113506053335437,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
132,False,"{'a': 0.01, 'e': 0.2481754516523729}",30,3,23.851996360910817,"{0: 25, 1: 0, 2: 2, 3: 0, 4: 0}",1
133,False,"{'a': 0.01, 'e': 0.23847605343372313}",25,5,-11.774827726465569,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",1
134,False,"{'a': 0.01, 'e': 0.22875280780845939}",25,9,25.752731147068726,"{0: 15, 1: 1, 2: 0, 3: 0, 4: 0}",1
135,False,"{'a': 0.01, 'e': 0.2190066870930415}",25,0,21.91531471024573,"{0: 23, 1: 2, 2: 0, 3: 0, 4: 0}",0
136,False,"{'a': 0.01, 'e': 0.20923866589141926}",30,12,-35.85398892066988,"{0: 15, 1: 0, 2: 2, 3: 0, 4: 1}",1
137,False,"{'a': 0.01, 'e': 0.19944972099757285}",25,5,29.037312393273403,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",1
138,False,"{'a': 0.01, 'e': 0.18964083129783424}",25,6,19.673838466012583,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 0}",1
139,False,"{'a': 0.01, 'e': 0.17981297767299936}",20,14,10.169489372286996,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
140,False,"{'a': 0.01, 'e': 0.16996714290024081}",25,11,11.271797678595373,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
141,False,"{'a': 0.01, 'e': 0.16010431155483126}",20,0,11.271184706333297,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
142,False,"{'a': 0.01, 'e': 0.15022546991168584}",20,8,19.109981535814708,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
143,False,"{'a': 0.01, 'e': 0.14033160584673673}",20,0,28.508420825542498,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
144,False,"{'a': 0.01, 'e': 0.13042370873814554}",25,0,5.469678747910658,"{0: 23, 1: 0, 2: 1, 3: 1, 4: 0}",0
145,False,"{'a': 0.01, 'e': 0.12050276936736662}",20,13,12.265828625407526,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
146,False,"{'a': 0.01, 'e': 0.11056977982006959}",30,18,22.02869548759196,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
147,False,"{'a': 0.01, 'e': 0.10062573338693173}",20,9,19.90662617310675,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
148,False,"{'a': 0.01, 'e': 0.09067162446430968}",20,11,18.682672113550723,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
149,False,"{'a': 0.01, 'e': 0.08070844845480063}",25,11,26.20007272929559,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
150,False,"{'a': 0.01, 'e': 0.0707372016677029}",20,5,29.66468759628761,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
151,False,"{'a': 0.01, 'e': 0.0607588812193859}",20,0,23.04874620145079,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
152,False,"{'a': 0.01, 'e': 0.05077448493357918}",20,2,30.10658768834606,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
153,False,"{'a': 0.01, 'e': 0.040785011241591035}",20,4,26.011777908275516,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
154,False,"{'a': 0.01, 'e': 0.03079145908246612}",25,0,24.51335091208715,"{0: 23, 1: 1, 2: 1, 3: 0, 4: 0}",1
155,False,"{'a': 0.01, 'e': 0.020794827803092428}",25,14,17.96294336219189,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
156,False,"{'a': 0.01, 'e': 0.010796117058267392}",35,26,17.84759353980054,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
157,False,"{'a': 0.01, 'e': 0.0007963267107332633}",20,5,32.579771976362174,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
1,True,"{'a': 0.0, 'e': 0.0}",25,11,28.43035594289363,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
2,True,"{'a': 0.0, 'e': 0.0}",25,10,23.965581964442862,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
3,True,"{'a': 0.0, 'e': 0.0}",20,13,14.538124514679986,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
4,True,"{'a': 0.0, 'e': 0.0}",35,16,36.536806463189784,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
5,True,"{'a': 0.0, 'e': 0.0}",25,2,40.67054239843615,"{0: 23, 1: 0, 2: 0, 3: 0, 4: 0}",1
6,True,"{'a': 0.0, 'e': 0.0}",20,8,23.132277570142627,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
7,True,"{'a': 0.0, 'e': 0.0}",20,15,10.562987466221177,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
8,True,"{'a': 0.0, 'e': 0.0}",35,23,22.53824747335633,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
9,True,"{'a': 0.0, 'e': 0.0}",20,15,10.32758387564452,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
10,True,"{'a': 0.0, 'e': 0.0}",20,11,18.478833620091425,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
